frame_idx,person_x1,person_y1,person_x2,person_y2,person_conf,tag_x1,tag_y1,tag_x2,tag_y2,tag_conf
377,442,0,573,165,0.8392027020454407,510,37,524,47,0.8010385036468506
378,452,0,585,172,0.8583037853240967,516,41,531,50,0.7978529334068298
379,463,0,576,171,0.8511362075805664,520,46,536,56,0.7644084692001343
380,476,0,567,171,0.8572787642478943,526,53,541,63,0.7851474285125732
381,493,6,572,172,0.8553147315979004,531,62,548,74,0.7776026725769043
382,492,14,578,174,0.8792641162872314,534,70,551,81,0.796444296836853
383,490,17,583,208,0.8616299033164978,538,85,554,96,0.7774627804756165
384,492,35,582,225,0.8723046183586121,541,98,556,108,0.7863034605979919
385,494,50,581,226,0.8663319945335388,540,117,556,128,0.7799408435821533
386,494,63,583,227,0.8697731494903564,541,131,559,142,0.8037039637565613
425,460,557,568,720,0.7808536887168884,502,694,521,705,0.8289878964424133
426,459,557,568,719,0.8316961526870728,502,683,520,695,0.8169589638710022
427,457,554,573,719,0.8466048836708069,503,676,522,687,0.8182653784751892
428,457,544,571,719,0.8545411229133606,506,661,525,673,0.7949625849723816
429,460,518,571,718,0.856831967830658,507,648,528,660,0.7533174753189087
430,463,502,570,705,0.8502702116966248,513,621,535,636,0.7861304879188538
431,465,501,578,693,0.8502295613288879,518,607,541,623,0.8136587142944336
432,473,503,581,673,0.8068869113922119,525,588,548,601,0.8134303689002991
433,484,463,595,658,0.7891911864280701,530,572,553,585,0.8002179265022278
458,408,0,495,162,0.8618966341018677,429,52,444,61,0.7705814838409424
459,401,0,498,162,0.8515908718109131,430,50,447,59,0.8113032579421997
460,401,0,489,161,0.8688609004020691,435,48,453,56,0.805835485458374
461,405,0,491,162,0.8574284315109253,443,48,460,56,0.8072752952575684
462,418,0,502,159,0.8577799797058105,459,49,476,56,0.7973504066467285
463,430,0,517,161,0.8635551929473877,478,52,494,59,0.785472571849823
464,444,1,532,162,0.8492624759674072,493,55,508,62,0.8029506206512451
465,451,6,537,185,0.8662376403808594,502,62,515,70,0.7904289364814758
466,453,13,541,199,0.8663467764854431,506,70,520,78,0.7739343643188477
467,463,26,545,214,0.842093288898468,513,84,530,93,0.7874650359153748
468,468,36,554,212,0.8676484823226929,516,93,533,103,0.8065796494483948
469,473,45,562,213,0.8631054162979126,516,106,535,117,0.7902560234069824
470,477,60,568,253,0.8728688955307007,521,124,541,134,0.8038795590400696
471,480,79,575,269,0.8553821444511414,527,139,546,152,0.7872751951217651
472,493,102,587,274,0.862805187702179,539,166,558,176,0.7984034419059753
502,454,580,558,719,0.7340283393859863,494,700,507,709,0.7776361107826233
503,451,583,558,719,0.7969488501548767,494,693,508,703,0.7950320243835449
504,454,559,558,720,0.8557345271110535,497,679,512,689,0.758344292640686
505,454,535,561,720,0.8394031524658203,498,661,516,672,0.7753901481628418
506,461,538,562,719,0.8438928723335266,502,646,523,658,0.7716919779777527
507,464,515,565,704,0.8240721821784973,510,626,529,639,0.7601912617683411
508,475,481,579,681,0.8105773329734802,521,602,542,614,0.7697972059249878
509,477,477,595,668,0.8224478363990784,529,586,550,598,0.7634717226028442
510,474,478,616,653,0.7574282884597778,534,570,556,583,0.7805355787277222
511,486,443,615,621,0.8027055859565735,540,540,562,554,0.7521601915359497
555,501,45,611,202,0.8519735336303711,560,102,578,115,0.787895143032074
556,497,58,605,238,0.885168194770813,557,118,574,131,0.762146532535553
558,496,86,592,254,0.8808256387710571,544,150,564,162,0.8005936145782471
559,495,109,590,268,0.8709211349487305,540,172,561,181,0.7612631916999817
807,451,581,555,719,0.6528682112693787,481,709,494,717,0.7603063583374023
808,452,572,556,719,0.6812715530395508,482,702,496,712,0.7707796692848206
809,455,571,556,719,0.8444040417671204,487,693,503,704,0.7732603549957275
810,456,573,559,719,0.8519380688667297,493,685,510,696,0.7750037312507629
811,453,549,563,719,0.8522560596466064,496,672,515,684,0.8039870858192444
812,453,525,563,720,0.8372655510902405,497,654,516,666,0.7695127129554749
813,452,522,563,716,0.8305339217185974,495,638,516,650,0.7999621629714966
814,454,525,565,701,0.8032985925674438,498,619,517,632,0.7859597206115723
815,457,499,570,683,0.8281723856925964,501,603,522,616,0.7953916192054749
816,463,462,586,657,0.8193024396896362,514,574,536,588,0.8207201957702637
817,472,461,597,642,0.8004237413406372,524,556,546,570,0.83180171251297
818,479,457,606,613,0.7179194092750549,535,527,558,539,0.8563593626022339
819,483,410,609,585,0.8215724229812622,540,502,562,516,0.8068228960037231
820,493,391,614,543,0.7986382842063904,545,460,567,473,0.8209061622619629
821,498,392,631,500,0.6287647485733032,550,421,572,435,0.8121475577354431
845,634,44,751,170,0.8290456533432007,712,90,724,100,0.7667952179908752
850,585,38,699,170,0.8584986925125122,656,79,668,95,0.7529953122138977
851,582,37,691,173,0.8585808277130127,643,81,655,96,0.7532888054847717
852,577,37,684,176,0.830761194229126,635,82,651,99,0.7822816371917725
853,541,35,667,181,0.8678909540176392,623,87,640,106,0.8153732419013977
854,525,40,658,188,0.8523776531219482,611,91,628,109,0.8256213068962097
855,521,38,637,196,0.8625421524047852,591,95,609,113,0.8371198177337646
856,522,47,629,196,0.8707744479179382,581,100,599,119,0.8533662557601929
857,516,52,615,228,0.8621305823326111,570,114,590,133,0.8251804113388062
858,507,63,609,249,0.8644062280654907,564,135,584,153,0.8056573867797852
859,504,71,609,248,0.8600876927375793,561,147,582,164,0.8272578716278076
860,498,98,606,255,0.8719011545181274,558,167,579,185,0.8485132455825806
861,498,126,604,309,0.864674985408783,556,195,576,209,0.8079250454902649
862,497,140,601,314,0.8654749989509583,554,214,575,229,0.8068490624427795
863,493,172,602,316,0.8564386963844299,557,243,578,258,0.8292155861854553
890,444,586,541,719,0.7319216728210449,466,704,483,715,0.811900794506073
891,445,578,539,719,0.7918652892112732,470,698,487,709,0.809346616268158
892,451,574,545,719,0.8186034560203552,479,690,497,701,0.7922486662864685
893,452,574,549,720,0.8356448411941528,484,687,503,697,0.7893085479736328
894,453,562,556,719,0.8520224094390869,490,677,508,689,0.8064781427383423
895,452,536,560,720,0.8352799415588379,493,667,511,679,0.7938514351844788
896,452,523,563,719,0.8293178677558899,495,649,514,661,0.7969821691513062
897,453,524,564,718,0.8372174501419067,495,639,516,652,0.806067705154419
898,454,524,567,705,0.8259716033935547,495,623,516,637,0.7799704670906067
899,458,494,567,691,0.8427352905273438,496,610,516,624,0.7974650263786316
900,457,466,571,673,0.8313096165657043,495,594,516,607,0.7915165424346924
901,458,459,582,649,0.8336564302444458,497,569,517,584,0.797629177570343
902,458,459,584,635,0.8381774425506592,500,552,520,567,0.8063513040542603
903,457,439,583,610,0.7771930694580078,502,522,524,538,0.801830530166626
904,461,404,591,586,0.8133743405342102,507,499,529,514,0.8118001818656921
905,473,396,584,560,0.8089255690574646,512,475,535,488,0.8393124938011169
924,415,2,484,167,0.8613544702529907,430,61,441,74,0.7900593280792236
925,401,1,478,162,0.845820963382721,423,56,440,70,0.8017812967300415
926,390,0,472,162,0.8573742508888245,426,52,443,65,0.7942768335342407
927,391,1,475,164,0.8502405881881714,430,50,448,63,0.7675307989120483
928,400,0,487,159,0.8533859252929688,442,50,459,62,0.802782416343689
929,414,0,501,161,0.8673965930938721,460,53,477,61,0.7779667973518372
930,424,0,509,161,0.8591378927230835,474,51,490,60,0.808167040348053
931,436,0,525,161,0.853038489818573,489,51,504,63,0.7828233242034912
932,446,1,529,184,0.8506761193275452,499,58,514,70,0.7943841814994812
933,451,5,534,200,0.8622611165046692,505,66,520,78,0.7976956963539124
934,459,13,538,205,0.8822193145751953,511,75,526,88,0.7942498326301575
935,468,27,553,206,0.8625412583351135,519,87,536,102,0.769382894039154
936,469,33,560,209,0.8780781626701355,522,98,540,112,0.7819303274154663
937,474,50,565,253,0.8800454139709473,528,116,548,132,0.7522703409194946
938,483,74,578,263,0.8729207515716553,539,141,559,156,0.7866253852844238
939,492,87,589,265,0.874302327632904,548,164,569,179,0.799387514591217
940,497,114,598,286,0.8717516660690308,555,189,575,204,0.8185002207756042
968,452,591,554,719,0.6492594480514526,484,703,498,713,0.8024777173995972
969,453,593,550,719,0.8377538919448853,482,695,498,705,0.8111168742179871
970,453,559,547,720,0.856259286403656,480,686,496,696,0.794389009475708
971,452,555,546,719,0.8385114669799805,476,675,494,686,0.7867764234542847
972,450,555,544,719,0.8492360711097717,477,664,496,676,0.7835679650306702
973,450,549,544,719,0.8517537117004395,478,655,497,668,0.8085737228393555
974,449,517,549,719,0.8373413681983948,481,645,501,658,0.8038634657859802
975,453,505,556,709,0.8610361814498901,487,628,508,640,0.8071309328079224
976,453,504,564,702,0.840279757976532,492,617,513,630,0.7947503328323364
977,455,500,568,684,0.8361222743988037,500,600,521,614,0.7853863835334778
978,456,465,576,666,0.8201056122779846,507,580,528,593,0.7931436896324158
979,457,445,582,647,0.7910609245300293,512,562,534,575,0.7851168513298035
980,462,442,591,624,0.8127347230911255,522,532,545,545,0.828111469745636
981,469,443,600,604,0.7646906971931458,529,513,551,528,0.8429858088493347
982,479,429,614,571,0.785199761390686,539,485,561,499,0.8794423341751099
983,488,390,620,551,0.7791727185249329,544,463,567,478,0.8564239144325256
984,498,377,599,520,0.2624434530735016,558,431,582,443,0.8098452687263489
1010,498,0,556,127,0.7864304780960083,514,22,524,35,0.8011205196380615
1011,498,0,561,133,0.8101894855499268,517,22,531,36,0.8204229474067688
1012,497,0,567,148,0.8509870171546936,524,27,540,41,0.8096249103546143
1013,496,0,570,154,0.8474737405776978,528,32,546,45,0.8399807214736938
1014,497,0,573,155,0.8503249883651733,532,38,549,52,0.828930139541626
1015,501,0,580,157,0.8481111526489258,538,44,556,58,0.8323354721069336
1016,499,0,585,157,0.8566610217094421,543,48,560,62,0.8342275619506836
1017,501,1,586,158,0.8540971875190735,546,53,563,67,0.7987762093544006
1018,499,9,586,190,0.8735867738723755,548,63,564,75,0.7718082666397095
1019,499,15,583,201,0.8613135814666748,547,71,563,84,0.7739483714103699
1020,496,21,585,203,0.8665593266487122,543,83,562,97,0.7688589692115784
1021,495,26,584,205,0.8637374639511108,542,92,561,106,0.785819411277771
1022,494,49,585,224,0.8593088984489441,541,107,560,121,0.8103811740875244
1023,495,56,586,254,0.8774154782295227,543,120,562,134,0.7717365622520447
1024,497,82,591,264,0.8902114033699036,549,143,570,160,0.7889583110809326
1025,498,94,601,267,0.8674620389938354,555,157,577,174,0.7790435552597046
1026,501,114,608,268,0.881324052810669,564,177,585,191,0.7961417436599731
1057,459,587,569,719,0.7093654274940491,501,701,514,712,0.7823649644851685
1058,453,582,569,719,0.7857409119606018,501,695,516,706,0.7981120944023132
1059,452,556,564,720,0.8610963821411133,498,683,515,694,0.7770493030548096
1060,453,545,563,719,0.8575586676597595,495,675,512,686,0.767634391784668
1061,452,546,563,719,0.8418183326721191,492,663,511,674,0.8006631135940552
1062,454,546,561,719,0.8474144339561462,492,648,511,661,0.8069615364074707
1063,454,497,564,707,0.8152187466621399,494,630,514,643,0.7679536938667297
1064,456,490,567,693,0.820501446723938,498,615,519,628,0.8148287534713745
1065,457,488,578,678,0.8345354795455933,505,597,526,610,0.7783437967300415
1066,458,487,583,668,0.8513631820678711,509,584,532,597,0.7848533391952515
1067,462,443,591,642,0.8215323090553284,517,557,539,571,0.7852895855903625
1068,468,423,598,613,0.7905702590942383,522,523,544,540,0.803597092628479
1069,475,423,601,583,0.7789640426635742,530,491,553,507,0.8443814516067505
1070,479,424,610,560,0.6337310671806335,533,470,556,487,0.8647779226303101
1071,492,370,612,518,0.7903282642364502,539,439,562,453,0.8082656264305115
1072,498,353,617,494,0.6667814254760742,546,414,569,427,0.7733430862426758
1105,621,49,724,163,0.8292699456214905,684,79,697,97,0.813715934753418
1106,611,50,720,164,0.84078449010849,682,81,696,99,0.7793057560920715
1107,588,46,712,171,0.8440155982971191,673,83,688,102,0.7911601662635803
1108,587,46,703,176,0.8339630365371704,660,85,675,103,0.8415780663490295
1109,588,41,695,175,0.8616670370101929,651,83,666,101,0.8453394174575806
1110,589,38,692,174,0.8570170402526855,643,83,659,102,0.8463536500930786
1111,570,36,679,193,0.8790122270584106,630,86,646,106,0.8460684418678284
1112,538,41,662,196,0.839691162109375,614,94,631,113,0.8318273425102234
1113,543,46,653,203,0.8641647696495056,600,101,617,123,0.8814134001731873
1114,534,56,643,207,0.8613950610160828,593,106,611,129,0.7940300107002258
1115,505,59,637,223,0.8513224720954895,586,120,605,141,0.8244999647140503
1116,499,59,627,247,0.8652425408363342,576,135,597,154,0.8127045035362244
1117,501,86,617,258,0.8732767105102539,569,146,590,164,0.8448560833930969
1118,502,90,609,262,0.8732250928878784,563,161,584,177,0.8095555901527405
1119,502,112,606,294,0.8838090300559998,562,181,582,196,0.8052830696105957
1120,501,132,608,319,0.8848660588264465,561,199,581,215,0.7621586918830872
1153,457,584,569,719,0.7837733626365662,502,701,518,711,0.8044022917747498
1154,454,573,567,719,0.8201628923416138,503,692,519,704,0.8191137909889221
1155,453,558,563,720,0.8660215735435486,499,685,517,696,0.8012115359306335
1156,451,550,560,720,0.8484603762626648,491,674,510,686,0.7854670882225037
1157,451,548,558,719,0.8317103385925293,488,663,507,675,0.7797870635986328
1158,453,552,556,719,0.8646978735923767,487,656,507,668,0.8002390265464783
1159,453,517,561,717,0.8305275440216064,491,642,511,653,0.7897930145263672
1160,453,502,564,709,0.8338574171066284,496,630,517,642,0.8009182810783386
1161,454,501,575,700,0.8372990489006042,507,615,528,628,0.7828657031059265
1162,464,500,584,680,0.8325982689857483,515,599,536,612,0.7830181121826172
1163,466,477,587,669,0.8235381245613098,518,587,540,600,0.7812149524688721
1164,467,441,595,643,0.6918048858642578,522,560,543,574,0.7907183170318604
1165,467,438,596,616,0.7613559365272522,524,531,545,545,0.8138848543167114
1166,471,438,601,588,0.7856836915016174,526,502,549,517,0.8356655240058899
1167,476,426,614,568,0.7789954543113708,530,483,553,497,0.8505381941795349
1168,484,387,611,541,0.8159748315811157,533,462,557,475,0.8338178992271423
1169,492,372,614,506,0.8209072947502136,541,428,564,440,0.8327127695083618
1196,497,0,562,161,0.8563798666000366,518,33,534,47,0.7984594702720642
1198,497,0,577,160,0.8541931509971619,534,45,553,59,0.8010215759277344
1199,496,0,584,159,0.8508720397949219,543,53,560,66,0.7925933003425598
1200,495,0,586,161,0.8575854301452637,545,59,561,72,0.8095904588699341
1201,496,12,582,197,0.8695273995399475,544,71,561,84,0.7760501503944397
1202,496,20,584,210,0.8498945832252502,542,82,559,95,0.7640078663825989
1203,489,32,582,212,0.8532236218452454,540,96,557,109,0.783972978591919
1204,488,43,579,211,0.8699908256530762,538,106,557,120,0.7846386432647705
1205,488,55,582,245,0.8688311576843262,541,124,561,139,0.7976992130279541
1208,498,23,610,279,0.7990497946739197,561,192,583,206,0.7814564108848572
