epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,142.735,1.13586,0.48864,1.11955,0.97421,0.96338,0.99116,0.68441,1.1812,0.49332,1.23166,0.0011882,0.0011882,0.0011882
43,146.147,1.14976,0.4992,1.13538,0.96915,0.96998,0.9881,0.67939,1.18015,0.4915,1.23312,0.0011684,0.0011684,0.0011684
44,149.515,1.13232,0.49615,1.11663,0.9758,0.9745,0.98477,0.66848,1.18588,0.51772,1.23964,0.0011486,0.0011486,0.0011486
45,152.842,1.13687,0.47984,1.10022,0.97061,0.97517,0.98703,0.67626,1.18421,0.48547,1.23694,0.0011288,0.0011288,0.0011288
46,156.201,1.12212,0.48659,1.10819,0.96578,0.97852,0.98986,0.67844,1.17839,0.49704,1.22986,0.001109,0.001109,0.001109
47,159.644,1.13187,0.48532,1.09385,0.97092,0.97181,0.99109,0.68168,1.18071,0.4806,1.23786,0.0010892,0.0010892,0.0010892
48,163.09,1.11255,0.47434,1.10124,0.97613,0.97047,0.99255,0.70179,1.17705,0.49281,1.23796,0.0010694,0.0010694,0.0010694
49,166.514,1.11592,0.47336,1.12011,0.98498,0.96845,0.99091,0.70588,1.18017,0.47686,1.22674,0.0010496,0.0010496,0.0010496
50,170.004,1.10336,0.4711,1.09867,0.98233,0.97013,0.99178,0.70228,1.16376,0.46777,1.20787,0.0010298,0.0010298,0.0010298
51,173.481,1.11698,0.47105,1.10863,0.98497,0.96747,0.98814,0.69438,1.17865,0.47004,1.2168,0.00101,0.00101,0.00101
52,176.862,1.11733,0.46844,1.09555,0.97404,0.96913,0.99003,0.68202,1.20164,0.48472,1.22494,0.0009902,0.0009902,0.0009902
53,180.262,1.12109,0.46831,1.09083,0.97442,0.97315,0.9893,0.6811,1.21169,0.47924,1.23102,0.0009704,0.0009704,0.0009704
54,183.669,1.10417,0.47078,1.09723,0.97429,0.98255,0.98397,0.67482,1.16978,0.48894,1.23181,0.0009506,0.0009506,0.0009506
55,187.074,1.10425,0.47108,1.10562,0.97064,0.97621,0.98923,0.68505,1.16583,0.47225,1.2193,0.0009308,0.0009308,0.0009308
56,190.405,1.09797,0.45811,1.09644,0.96807,0.9768,0.98772,0.68041,1.20393,0.46478,1.25972,0.000911,0.000911,0.000911
57,193.851,1.064,0.44088,1.08443,0.9693,0.97473,0.98912,0.69116,1.16899,0.46767,1.21896,0.0008912,0.0008912,0.0008912
58,197.39,1.09656,0.45634,1.08177,0.97178,0.97074,0.9893,0.67709,1.18999,0.46602,1.24271,0.0008714,0.0008714,0.0008714
59,200.806,1.08928,0.45441,1.09225,0.97199,0.97832,0.99014,0.69221,1.17323,0.45684,1.20755,0.0008516,0.0008516,0.0008516
60,204.287,1.07608,0.45514,1.07896,0.96822,0.9745,0.99106,0.69781,1.18571,0.45833,1.22645,0.0008318,0.0008318,0.0008318
61,207.776,1.08404,0.45167,1.08983,0.97512,0.97315,0.99214,0.69884,1.16623,0.44305,1.21129,0.000812,0.000812,0.000812
62,211.252,1.09748,0.45306,1.08312,0.96321,0.98402,0.99175,0.70555,1.15747,0.45509,1.21086,0.0007922,0.0007922,0.0007922
63,214.717,1.08665,0.45383,1.08862,0.95946,0.98486,0.99245,0.70246,1.18229,0.45428,1.2216,0.0007724,0.0007724,0.0007724
64,218.16,1.08585,0.4503,1.08411,0.97722,0.97718,0.99303,0.69929,1.1726,0.45541,1.22455,0.0007526,0.0007526,0.0007526
65,221.582,1.05623,0.44315,1.07108,0.97852,0.9785,0.9931,0.6986,1.17571,0.4557,1.21381,0.0007328,0.0007328,0.0007328
66,225.101,1.05247,0.43937,1.06967,0.98096,0.9682,0.99006,0.69006,1.19137,0.47424,1.23581,0.000713,0.000713,0.000713
67,228.507,1.04907,0.43363,1.06642,0.98488,0.96913,0.99012,0.69586,1.1847,0.45837,1.2289,0.0006932,0.0006932,0.0006932
68,231.99,1.0457,0.4329,1.06723,0.98371,0.97245,0.99212,0.70309,1.17578,0.45381,1.23284,0.0006734,0.0006734,0.0006734
69,235.426,1.04725,0.43038,1.06691,0.98069,0.97181,0.99202,0.70867,1.1706,0.44252,1.24407,0.0006536,0.0006536,0.0006536
70,238.94,1.05722,0.43147,1.08449,0.98116,0.97882,0.99228,0.71601,1.16919,0.43814,1.21964,0.0006338,0.0006338,0.0006338
71,242.519,1.04961,0.4325,1.0637,0.97799,0.98121,0.99261,0.70985,1.17207,0.44135,1.21452,0.000614,0.000614,0.000614
72,245.901,1.05524,0.43869,1.07306,0.98106,0.97322,0.99249,0.70451,1.1695,0.43597,1.20038,0.0005942,0.0005942,0.0005942
73,249.367,1.05212,0.43217,1.06834,0.97975,0.97421,0.99182,0.70441,1.16577,0.44017,1.19488,0.0005744,0.0005744,0.0005744
74,252.806,1.03389,0.42667,1.06634,0.98655,0.97181,0.99122,0.70985,1.16185,0.43743,1.19371,0.0005546,0.0005546,0.0005546
75,256.318,1.02751,0.42495,1.05899,0.98044,0.97584,0.99171,0.71407,1.15945,0.43338,1.19403,0.0005348,0.0005348,0.0005348
76,259.812,1.04187,0.42476,1.07914,0.98641,0.97417,0.99158,0.71215,1.15877,0.4343,1.19539,0.000515,0.000515,0.000515
77,263.304,1.03844,0.42413,1.04427,0.98372,0.97347,0.99145,0.71488,1.14717,0.43166,1.19863,0.0004952,0.0004952,0.0004952
78,266.865,1.02983,0.42795,1.08088,0.97718,0.9771,0.99219,0.70429,1.16812,0.44017,1.20955,0.0004754,0.0004754,0.0004754
